Age,GPA,Interested Domain,Projects,Future Career,Python,SQL,Java
20,3.6,Software Development,Web Application Development,Software Engineer,3,1,3
22,3.4,Web Development,E-commerce Website,Web Developer,1,3,3
21,3.9,Cybersecurity,Security Auditing,Information Security,3,2,1
23,3.7,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
21,3.8,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
20,3.7,Mobile App Development,Cross-Platform App Development,Mobile App Developer,1,3,2
23,3.3,Artificial Intelligence,Reinforcement Learning,AI,3,1,2
22,3.5,Data Science,Data Mining,Data Analyst,2,1,3
21,3.6,Web Development,Front-End Development,Web Developer,1,3,2
20,3.7,Machine Learning,Computer Vision,Machine Learning Engineer,3,2,1
22,3.7,Artificial Intelligence,Reinforcement Learning,AI,3,2,1
21,3.6,Data Science,Machine Learning,Data Scientist,3,2,1
20,3.8,Software Development,Mobile App Development,Software Engineer,3,3,2
23,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
22,3.5,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Classification,Machine Learning Engineer,3,2,1
22,3.7,Database Management,SQL Database Design,Database Administrator,1,3,2
20,3.6,Cloud Computing,Cloud Infrastructure Management,Cloud Architect,3,1,1
21,3.5,Mobile App Development,iOS App Development,Mobile App Developer,1,3,2
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,1,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
20,3.6,Cybersecurity,Security Auditing,Information Security,3,2,1
21,3.4,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
23,3.7,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
20,3.8,Mobile App Development,Cross-Platform App Development,Mobile App Developer,1,3,2
21,3.7,Artificial Intelligence,Reinforcement Learning,AI,3,1,2
22,3.5,Data Science,Data Mining,Data Analyst,2,1,3
23,3.6,Web Development,Front-End Development,Web Developer,1,3,2
20,3.7,Machine Learning,Computer Vision,Machine Learning Engineer,3,2,1
22,3.7,Artificial Intelligence,Neural Network Development,AI,3,2,1
21,3.6,Data Science,Big Data Analytics,Data Analyst,2,3,1
20,3.8,Software Development,Mobile App Development,Software Engineer,3,3,2
23,3.7,Web Development,E-commerce Website,Web Developer,1,3,3
22,3.5,Cybersecurity,Network Security,Information Security,2,1,3
21,3.9,Machine Learning,Image Classification,Machine Learning Engineer,3,2,1
22,3.7,Database Management,SQL Database Design,Database Administrator,1,3,2
20,3.6,Cloud Computing,Cloud Infrastructure Management,Cloud Architect,3,1,1
21,3.5,Mobile App Development,iOS App Development,Mobile App Developer,1,3,2
23,3.8,Artificial Intelligence,Natural Language Processing,NLP Research Scientist,3,1,1
22,3.7,Web Development,Full-Stack Web App,Web Developer,1,3,3
20,3.6,Cybersecurity,Security Auditing,Information Security,3,2,1
21,3.4,Machine Learning,Natural Language Processing,Machine Learning Engineer,3,2,1
22,3.5,Database Management,SQL Database Administration,Database Administrator,1,3,2
23,3.7,Cloud Computing,Cloud Solution Architecture,Cloud Architect,3,3,1
